program, simb_program
fatorial, id
;, simb_semicolon
var, simb_var
x, id
,, simb_comma
aux, id
,, simb_comma
fat, id
:, simb_colon
integer, simb_type
;, simb_semicolon
begin, simb_begin
read, simb_read
(, simb_lpar
x, id
), simb_rpar
;, simb_semicolon
fat, id
:=, simb_atrib
1, integer_number
;, simb_semicolon
for, simb_for
aux, id
:=, simb_atrib
1, integer_number
to, simb_to
x, id
do, simb_do
begin, simb_begin
fat, id
:=, simb_atrib
fat, id
*, simb_multiply
aux, id
;, simb_semicolon
end, simb_end
;, simb_semicolon
write, simb_write
(, simb_lpar
fat, id
), simb_rpar
;, simb_semicolon
end, simb_end
., simb_dot
